scenario,confluence,name,netcdf_name,id,parametertype,dimensions,valueencoding,codeset,unitofmeasure,fillvalue,displayname,precision,visible,parameterfunctionid,parameterfunctionmap,qcfunctions,standardname,dataproductidentifier,description,longname,dataproducttype,datalevel
TO-DO,ADCP-PD0,echo_intensity_beam4,echo_intensity_beam4,PD727,array<quantity>,"[""bin""]",uint8,,counts,0,Echo Intensity Beam 4 Measurement,0,,,,,,ECHOINT-B4_L0,Echo Intensity Measurement is the accoustic return signal that is output directly from the ADCP. This is used to calculate the echo intensity data product.,Echo Intensity Beam 4 Measurement,Unprocessed Data,L0
TO-DO,ADCP-PD0,percent_good_id,percent_good_id,PD728,quantity,,uint16,,1,65535,Percent Good ID,0,,,,,,,"Percent-good packet ID (""00 04"")",,,
TO-DO,ADCP-PD0,percent_good_3beam,percent_good_3beam,PD729,array<quantity>,"[""bin""]",uint8,,percent,255,Percent Good 3Beam,0,,,,,,,Percentage of good 3-beam solutions (successful velocity calculations using 3-beams). VELPROF-PCG,,,
TO-DO,ADCP-PD0,percent_transforms_reject,percent_transforms_reject,PD730,array<quantity>,"[""bin""]",uint8,,percent,255,Percent Transforms Reject,0,,,,,,,Percentage of transformations rejected (error velocity that was higher than the WE-command setting),,,
TO-DO,ADCP-PD0,percent_bad_beams,percent_bad_beams,PD731,array<quantity>,"[""bin""]",uint8,,percent,255,Percent Bad Beams,0,,,,,,,Percentage of velocity data rejected because not enough beams had good data.,,,
TO-DO,ADCP-PD0,percent_good_4beam,percent_good_4beam,PD732,array<quantity>,"[""bin""]",uint8,,percent,255,Percent Good 4Beam,0,,,,,,,Percentage of velocity data collected during ensemble that were calculated with all 4 beams,,,
TO-DO,ADCP-PD0,checksum,checksum,PD743,quantity,,uint16,,1,65535,Checksum,0,,,,,,,"Contains a modulo 65535 checksum. Checksum is the calculated by summing all bytes in output buffer, excluding checksum",,,
TO-DO,ADCP-Waves,wave_header_id,wave_header_id,PD744,quantity,,uint16,,1,65535,Wave Header ID,0,,,,,,,"Stores the header identification byte (""7f79"")",,,
TO-DO,ADCP-Waves,checksum_offset,checksum_offset,PD745,quantity,,uint16,,1,65535,Checksum Offset,0,,,,,,,offset to checksum,,,
TO-DO,ADCP-Waves,offset_data_types,offset_data_types,PD747,quantity,,uint16,,1,65535,Offset Data Types,0,,,,,,,Internal memory address where the Workhorse ADCP stores the information for a data type. Adding 1 to this number gives the absolute binary byte number in the ensemble where the data type begins.,,,
TO-DO,ADCP-Waves,first_leader_id,first_leader_id,PD748,quantity,,uint16,,1,65535,First Leader ID,0,,,,,,,"First Leader packet id (""0103"")",,,
TO-DO,ADCP-Waves,firmware_version,firmware_version,PD749,quantity,,uint16,,1,0,Firmware Version,0,,,,,,,CPU firmware version and revision,,,
TO-DO,ADCP-Waves,configuration,configuration,PD750,quantity,,uint16,,1,0,Configuration,0,,,,,,,Bitmap with system frequency and beam geometry,,,
TO-DO,ADCP-Waves,num_bins,num_bins,PD751,quantity,,uint16,,1,0,Number of Bins,0,,,,,,,Number of depth cells (bins) in the profile,,,
TO-DO,ADCP-Waves,samples_per_burst,samples_per_burst,PD752,quantity,,uint16,,1,0,Samples Per Burst,0,,,,,,,Number of wave samples per burst,,,
TO-DO,ADCP-Waves,bin_length,bin_length,PD753,quantity,,uint8,,cm,0,Bin Length,0,,,,,,,Depth cell size,,,
TO-DO,ADCP-Waves,time_between_pings,time_between_pings,PD754,quantity,,uint16,,cs,0,Time Between Pings,0,,,,,,,Time between wave samples,,,
TO-DO,ADCP-Waves,time_between_bursts,time_between_bursts,PD755,quantity,,uint16,,s,0,Time Between Bursts,0,,,,,,,Time between wave bursts,,,
TO-DO,ADCP-Waves,num_bins_out,num_bins_out,PD757,quantity,,uint8,,1,0,Number Bins Out,0,,,,,,,Number of depth cells to output,,,
TO-DO,ADCP-Waves,dws_bitmap,dws_bitmap,PD758,array<quantity>,,uint8,,1,255,DWS Bitmap,0,,,,,,,Bitmap of bins for directional wave spectra,,,
TO-DO,ADCP-Waves,velocity_bitmap,velocity_bitmap,PD759,array<quantity>,,uint8,,1,255,Velocity Bitmap,0,,,,,,,Bitmap of bins for non-directional wave spectra,,,
TO-DO,ADCP-Waves,burst_start_time,burst_start_time,PD760,quantity,,float64,,seconds since 1900-01-01,-9999999,"Burst Start Time, UTC",6,,,,,,,"Start time of burst sampling in seconds since Jan 01, 1900.",,,
TO-DO,ADCP-Waves,burst_number,burst_number,PD761,quantity,,uint32,,1,0,Burst Number,0,,,,,,,Sequential wave burst number,,,
TO-DO,ADCP-Waves,wave_ping_id,wave_ping_id,PD764,quantity,,uint16,,1,65535,Wave Ping ID,0,,,,,,,"Wave pings packet ID (""0203"")",,,
TO-DO,ADCP-Waves,sample_number,sample_number,PD765,quantity,,uint16,,1,0,Sample Number,0,FALSE,,,,,,Ping sample number,,,
TO-DO,ADCP-Waves,elapsed_time,elapsed_time,PD766,quantity,,uint32,,cs,0,Elapsed Time,0,,,,,,,Time since beginning of burst,,,
TO-DO,ADCP-Waves,distance_surface,distance_surface,PD768,array<quantity>,,int32,,mm,-9999999,Distance Surface,0,,,,,,,Distance to surface for the four beams in mm,,,
TO-DO,ADCP-Waves,beam_radial_velocity,beam_radial_velocity,PD769,array<quantity>,,int16,,mm s-1,-9999,Beam Radial Velocity,0,,,,,,,Beam radial velocity for selected bins,,,
TO-DO,ADCP-Waves,hpr_ping_id,hpr_ping_id,PD770,quantity,,uint16,,1,65535,HPR Ping ID,0,,,,,,,"Heading, Pitch and Roll (HPR) Ping packet id (""0403"")",,,
TO-DO,ADCP-Waves,last_leader_id,last_leader_id,PD774,quantity,,uint16,,1,65535,Last Leader ID,0,,,,,,,"Last leader packet ID (""0303"")",,,
TO-DO,ADCP-Waves,avg_depth,avg_depth,PD775,quantity,,uint16,,dm,65535,Avg Depth,0,,,,,,,Average instrument depth for wave burst,,,
TO-DO,ADCP-Waves,avg_speed_of_sound,avg_speed_of_sound,PD776,quantity,,uint16,,m s-1,65535,Avg Speed of Sound,0,,,,,,,Average speed of sound,,,
TO-DO,ADCP-Waves,avg_temperature,avg_temperature,PD777,quantity,,uint16,,cdeg_C,65535,Avg Temperature,0,,,,,,,Average temperature,,,
TO-DO,ADCP-Waves,avg_heading,avg_heading,PD778,quantity,,uint16,,cdegrees,65535,Avg Heading,0,,,,,,,Average instrument heading,,,
TO-DO,ADCP-Waves,stdev_heading,stdev_heading,PD779,quantity,,int16,,cdegrees,-32768,Heading Standard Deviation,0,,,,,,,Standard deviation of the heading,,,
TO-DO,ADCP-Waves,avg_pitch,avg_pitch,PD780,quantity,,int16,,cdegrees,-32768,Avg Pitch,0,,,,,,,Average instrument pitch,,,
TO-DO,ADCP-Waves,stdev_pitch,stdev_pitch,PD781,quantity,,int16,,cdegrees,-32768,Pitch Standard Deviation,0,,,,,,,Standard deviation of pitch,,,
TO-DO,ADCP-Waves,avg_roll,avg_roll,PD782,quantity,,int16,,cdegrees,-32768,Avg Roll,0,,,,,,,Average instrument roll,,,
TO-DO,ADCP-Waves,stdev_roll,stdev_roll,PD783,quantity,,int16,,cdegrees,-32768,Roll Standard Deviation,0,,,,,,,Standard deviation of roll,,,
TO-DO,ADCP-PD12,pd12_packet_id,pd12_packet_id,PD784,quantity,,uint16,,1,65535,PD12 Packet ID,0,,,,,,,"PD12 ensemble packet id (""7f6e"")",,,
TO-DO,ADCP-PD12,ensemble_start_time,ensemble_start_time,PD785,quantity,,float64,,seconds since 1900-01-01,-9999999,"Ensemble Start Time, UTC",6,,,,,,,"Ensemble start time in seconds since Jan 01, 1900.",,,
TO-DO,ADCP-PD12,velocity_po_error_flag,velocity_po_error_flag,PD788,boolean,,int8,,1,-99,Velocity PO Error Flag,0,,,,,,,"Selected velocity componets to be output in PD12 data, dependent on EX settings. Error velocity.",,,
TO-DO,ADCP-PD12,velocity_po_up_flag,velocity_po_up_flag,PD789,boolean,,int8,,1,-99,Velocity PO Up Flag,0,,,,,,,"Selected velocity componets to be output in PD12 data, dependent on EX settings. Upward velocity.",,,
TO-DO,ADCP-PD12,velocity_po_north_flag,velocity_po_north_flag,PD790,boolean,,int8,,1,-99,Velocity PO North Flag,0,,,,,,,"Selected velocity componets to be output in PD12 data, dependent on EX settings. North velocity.",,,
TO-DO,ADCP-PD12,velocity_po_east_flag,velocity_po_east_flag,PD791,boolean,,int8,,1,-99,Velocity PO East Flag,0,,,,,,,"Selected velocity componets to be output in PD12 data, dependent on EX settings. Eastward velocity.",,,
TO-DO,ADCP-PD12,subsampling_parameter,subsampling_parameter,PD792,quantity,,uint8,,1,255,Subsampling Parameter,0,,,,,,,"Bin selection for PD12 stat output. Beginning with the bin specified by the parameter start_bin, every nth bin defined by the subsampling parameter will be outputted until the total number of bins specified by the parameter num_bins have been outputted.",,,
TO-DO,ADCP-PD12,start_bin,start_bin,PD793,quantity,,uint8,,1,255,Start Bin,0,,,,,,,"Bin selection for PD12 stat output. Beginning with the bin specified by the parameter start_bin, every nth bin defined by the subsampling parameter will be outputted until the total number of bins specified by the parameter num_bins have been outputted.",,,
TO-DO,ADCP-PD12,num_bins,num_bins,PD794,quantity,,uint8,,1,255,Number of Bins,0,,,,,,,"Bin selection for PD12 stat output. Beginning with the bin specified by the parameter start_bin, every nth bin defined by the subsampling parameter will be outputted until the total number of bins specified by the parameter num_bins have been outputted.",,,
TO-DO,ADCP-CompCal,fluxgate_calibration_timestamp,fluxgate_calibration_timestamp,PD795,quantity,,float64,,seconds since 1900-01-01,-9999999,"Fluxgate Calibration Timestamp, UTC",6,,,,,,,"Fluxgate calibration date and time stamp in seconds since Jan 01, 1900",,,
TO-DO,ADCP-CompCal,s_inverse_bx,s_inverse_bx,PD796,array<quantity>,"[""beam""]",float32,,1,-9999999,S Inverse Bx,,,,,,,,Active fluxgate S inverse calibration matrices: Bx,,,
TO-DO,ADCP-CompCal,s_inverse_by,s_inverse_by,PD797,array<quantity>,"[""beam""]",float32,,1,-9999999,S Inverse By,,,,,,,,Active fluxgate S inverse calibration matrices: By,,,
TO-DO,ADCP-CompCal,s_inverse_bz,s_inverse_bz,PD798,array<quantity>,"[""beam""]",float32,,1,-9999999,S Inverse Bz,,,,,,,,Active fluxgate S inverse calibration matrices: Bz,,,
TO-DO,ADCP-CompCal,s_inverse_err,s_inverse_err,PD799,array<quantity>,"[""beam""]",float32,,1,-9999999,S Inverse Error,,,,,,,,Active fluxgate S inverse calibration matrices: Error,,,
TO-DO,ADCP-CompCal,coil_offset,coil_offset,PD800,array<quantity>,"[""beam""]",float32,,1,-9999999,Coil Offset,,,,,,,,Active fluxgate coil offset calibration matrix,,,
TO-DO,ADCP-CompCal,electrical_null,electrical_null,PD801,quantity,,float32,,1,-9999999,Electrical Null,,,,,,,,Active fluxgate electrical null calibration value,,,
TO-DO,ADCP-CompCal,tilt_calibration_timestamp,tilt_calibration_timestamp,PD802,quantity,,float64,,seconds since 1900-01-01,-9999999,"Tilt Calibration Timestamp, UTC",6,,,,,,,"Tilt calibration date and time stamp in seconds since Jan 01, 1900",,,
TO-DO,ADCP-CompCal,roll_up_down,roll_up_down,PD803,array<quantity>,"[""beam""]",float32,,1,-9999999,Roll Up Down,,,,,,,,Tilt calibration matrices: Up,,,
TO-DO,ADCP-CompCal,pitch_up_down,pitch_up_down,PD804,array<quantity>,"[""beam""]",float32,,1,-9999999,Pitch Up Down,,,,,,,,Tilt calibration matrices: Down,,,
TO-DO,ADCP-CompCal,offset_up_down,offset_up_down,PD805,array<quantity>,"[""beam""]",float32,,1,-9999999,Offset Up Down,,,,,,,,Tilt calibration matrices: Offset,,,
TO-DO,ADCP-CompCal,tilt_null,tilt_null,PD806,quantity,,float32,,1,-9999999,Tilt Null,,,,,,,,Tilt calibration null value,,,
TO-DO,ADCP-SysConfig,transducer_frequency,transducer_frequency,PD807,quantity,,uint32,,Hz,65535,Transducer Frequency,0,,,,,,,Transducer head frequency,,,
TO-DO,ADCP-SysConfig,configuration,configuration,PD808,quantity,,string,,1,empty,Configuration,0,,,,,,,Transducer configuration,,,
TO-DO,ADCP-SysConfig,match_layer,match_layer,PD809,quantity,,string,,1,empty,Match Layer,0,,,,,,,,,,
TO-DO,ADCP-SysConfig,beam_pattern,beam_pattern,PD811,quantity,,string,,1,empty,Beam Pattern,0,,,,,,,Are transducer beams convex (1) or concave (0),,,
TO-DO,ADCP-SysConfig,orientation,orientation,PD812,quantity,,string,,1,empty,Orientation,0,,,,,,,Whether the unit is oriented UP or DOWN,,,
TO-DO,ADCP-SysConfig,sensors,sensors,PD813,quantity,,string,,1,empty,Sensors,0,,,,,,,Sensors are installed on the unit,,,
TO-DO,ADCP-SysConfig,pressure_coeff_c3,pressure_coeff_c3,PD814,quantity,,float32,,1,-9999999,Pressure Coefficient C3,,,,,,,,Pressure sensor coefficients: C3,,,
TO-DO,ADCP-SysConfig,pressure_coeff_c2,pressure_coeff_c2,PD815,quantity,,float32,,1,-9999999,Pressure Coefficient C2,,,,,,,,Pressure sensor coefficients: C2,,,
TO-DO,ADCP-SysConfig,pressure_coeff_c1,pressure_coeff_c1,PD816,quantity,,float32,,1,-9999999,Pressure Coefficient C1,,,,,,,,Pressure sensor coefficients: C1,,,
TO-DO,ADCP-SysConfig,pressure_coeff_offset,pressure_coeff_offset,PD817,quantity,,float32,,1,-9999999,Pressure Coefficient Offset,,,,,,,,Pressure sensor coefficients: Offset,,,
TO-DO,ADCP-SysConfig,temperature_sensor_offset,temperature_sensor_offset,PD818,quantity,,float32,,degrees_Celsius,-9999999,Temperature Sensor Offset,,,,,,,,Temperature sensor offset,,,
TO-DO,ADCP-SysConfig,cpu_firmware,cpu_firmware,PD819,quantity,,string,,1,empty,CPU Firmware,0,,,,,,,CPU board firmware,,,
TO-DO,ADCP-SysConfig,boot_code_required,boot_code_required,PD820,quantity,,string,,1,empty,Boot Code Required,0,,,,,,,Required boot code,,,
TO-DO,ADCP-SysConfig,boot_code_actual,boot_code_actual,PD821,quantity,,string,,1,empty,Boot Code Actual,0,,,,,,,Installed boot code,,,
TO-DO,ADCP-SysConfig,demod_1_version,demod_1_version,PD822,quantity,,string,,1,empty,Demod 1 Version,0,,,,,,,DEMOD #1 version,,,
TO-DO,ADCP-SysConfig,demod_1_type,demod_1_type,PD823,quantity,,string,,1,empty,Demod 1 Type,0,,,,,,,DEMOD #1 type,,,
TO-DO,ADCP-SysConfig,demod_2_version,demod_2_version,PD824,quantity,,string,,1,empty,Demod 2 Version,0,,,,,,,DEMOD #2 version,,,
TO-DO,ADCP-SysConfig,demod_2_type,demod_2_type,PD825,quantity,,string,,1,empty,Demod 2 Type,0,,,,,,,DEMOD #2 type,,,
TO-DO,ADCP-SysConfig,power_timing_version,power_timing_version,PD826,quantity,,string,,1,empty,Power Timing Version,0,,,,,,,PWRTMNG version,,,
TO-DO,ADCP-SysConfig,power_timing_type,power_timing_type,PD827,quantity,,string,,1,empty,Power Timing Type,0,,,,,,,PWRTMNG type,,,
TO-DO,ADCP-SysConfig,board_serial_numbers,board_serial_numbers,PD828,quantity,,string,,1,empty,Board Serial Numbers,0,,,,,,,Board serial number data,,,
TO-DO,Nortek Generic Data Structures,date_time_array,date_time_array,PD829,array<quantity>,,int8,,1,-99,Date Time Array,0,,,,,,,Array of date and time values returned by instrument in response to RC command,,,
TO-DO,Nortek Generic Data Structures,battery_voltage_mv,battery_voltage_mv,PD831,quantity,,int32,,mV,-9999999,Battery Voltage,0,,,,,,,Instrument battery voltage returned in mV,,,
TO-DO,Nortek Generic Data Structures,identification_string,identification_string,PD832,quantity,,string,,1,empty,Identification String,0,,,,,,,Instrument identification string,,,
TO-DO,PRESF,absolute_pressure_burst,absolute_pressure_burst,PD833,array<quantity>,,float32,,psi,-9999999,Seafloor Pressure,,,,,,,SFLPRES_L0,Seafloor Pressure is a measurement of the force on the seafloor exerted by the weight of the overlying seawater column plus the weight of the atmosphere (hydrostatic plus atmospheric). This specific instance is the Level 0 unprocessed data product.,Seafloor Pressure,Unprocessed Data,L0
CTD,"CTDBP-NO, DOSTA",oxy_calphase,oxy_calphase,PD835,quantity,,int32,,counts,-9999999,Calibrated Phase,0,,,,,,,,Calibrated Phase,Engineering Data,
CTD,"CTDBP-NO, DOSTA",oxy_temp,oxy_temp,PD836,quantity,,int32,,counts,-9999999,DOSTA Temperature,0,,,,,,,,DOSTA Temperature,Auxiliary Data,
TO-DO,BOTPT,sensor_id,sensor_id,PD837,quantity,,string,,1,empty,Sensor ID,,,,,,,,,,,
TO-DO,BOTPT,time_sync_flag,time_sync_flag,PD838,quantity,,string,,1,empty,Time Sync Flag,0,,,,,,,Either 'V' or 'P',,,
TO-DO,BOTPT,lily_x_tilt,lily_x_tilt,PD839,quantity,,float32,,urad,-9999999,High-Resolution X-Tilt,,,,,,,BOTTILT-XTLT_L0,"Seafloor High-Resolution Tilt measurements are very precise measurements of seafloor tilt, measured in micro-radians. This high resolution enables the measurement of the ""tilting"" of the seafloor as it deforms in response to uplifting mantle at the summit of Axial Volcano. X-tilt is the magnitude of tilt since the last re-leveling of the sensor and is output by the High-resolution Tiltmeter (LILY) on board the BOTPT instrument. Positive X-tilt means the positive x-axis is in the direction of downward tilt.",LILY Seafloor High-resolution X-Tilt,Unprocessed Data,L0
TO-DO,BOTPT,lily_y_tilt,lily_y_tilt,PD840,quantity,,float32,,urad,-9999999,High-Resolution Y-Tilt,,,,,,,BOTTILT-YTLT_L0,"Seafloor High-Resolution Tilt measurements are very precise measurements of seafloor tilt, measured in micro-radians. This high resolution enables the measurement of the ""tilting"" of the seafloor as it deforms in response to uplifting mantle at the summit of Axial Volcano. Y-tilt is the magnitude of tilt since the last re-leveling of the sensor and is output by the High-resolution Tiltmeter (LILY) on board the BOTPT instrument. Positive Y-tilt means the positive y-axis is in the direction of downward tilt.",LILY Seafloor High-resolution Y-Tilt,Unprocessed Data,L0
TO-DO,BOTPT,compass_direction,compass_direction,PD841,quantity,,float32,,degrees,-9999999,High-Resolution Compass Direction,,,,,,,BOTTILT-SCMP_L0,"The sensor compass direction is output by the High-resolution Tiltmeter (LILY) on board the BOTPT instrument and represents the heading of the negative y-axis direction of the tiltmeter measured in degrees counter-clockwise from north, unorrected for calibration offsets and magnetic declination.",LILY Sensor Compass Direction,Unprocessed Data,L0
TO-DO,BOTPT,supply_voltage,supply_voltage,PD842,quantity,,float32,,V,-9999999,High-Resolution Tiltmeter Voltage,,,,,,,TLTVOLT,The auxiliary data product LILY Tiltmeter Voltage is the voltage supplied to the Applied Geomechanics LILY Self-leveling Borehole Tiltmeter sensor.,LILY Tiltmeter Voltage,Auxiliary Data,
TO-DO,BOTPT,press_trans_temp,press_trans_temp,PD843,quantity,,float64,,degrees_Celsius,-9999999,Nano-Resolution Pressure Transducer Temperature,,,,,NPTTEMP,,NPTTEMP,Nano-resolution Pressure Transducer Temperature is the internal transducer temperature that is used for onboard temperature-compensation of the pressure measurements produced by the BOTPT instrument.,Nano-resolution Pressure Transducer Temperature,Auxiliary Data,
TO-DO,BOTPT,heat_x_tilt,heat_x_tilt,PD844,quantity,,int16,,degrees,-9999,Coarse-Resolution X-Tilt,0,,,,,,CRTTILT-XTLT,The auxiliary data product HEAT Coarse-resolution X-Tilt is the sensor tilt in the X direction measured by the ADXL327 Coarse-resolution Tiltmeter sensor integrated with the manual-leveling mechanism on the BOTPT instrument.,HEAT Coarse-resolution Sensor X-tilt,Auxiliary Data,
